,Date,Energy Required (MU),temp,rain
0,2015-01-01,131.501,28.0,0.1
1,2015-01-02,135.684,28.0,0.4
2,2015-01-03,136.575,27.0,1.1
3,2015-01-04,136.887,27.0,0.4
4,2015-01-05,138.566,27.0,0.0
5,2015-01-06,138.846,25.0,0.0
6,2015-01-07,137.209,25.0,0.0
7,2015-01-08,137.859,25.0,0.1
8,2015-01-09,135.199,23.0,0.0
9,2015-01-10,136.159,23.0,0.0
10,2015-01-11,131.173,24.0,0.0
11,2015-01-12,132.813,23.0,0.0
12,2015-01-13,136.996,24.0,0.0
13,2015-01-14,134.263,25.0,0.0
14,2015-01-15,127.22,25.0,0.0
15,2015-01-16,125.107,26.0,0.0
16,2015-01-17,128.624,25.0,0.0
17,2015-01-18,127.796,25.0,0.0
18,2015-01-19,131.75,26.0,0.0
19,2015-01-20,134.978,25.0,0.0
20,2015-01-21,134.27,25.0,0.0
21,2015-01-22,136.556,25.0,0.0
22,2015-01-23,139.711,26.0,0.0
23,2015-01-24,137.127,26.0,0.0
24,2015-01-25,137.041,26.0,0.0
25,2015-01-26,134.741,26.0,0.0
26,2015-01-27,137.412,26.0,0.0
27,2015-01-28,140.114,26.0,0.0
28,2015-01-29,139.509,26.0,0.1
29,2015-01-30,140.529,27.0,0.0
30,2015-01-31,141.08,26.0,0.0
31,2015-02-01,138.054,26.0,0.1
32,2015-02-02,137.458,26.0,0.2
33,2015-02-03,138.233,26.0,0.0
34,2015-02-04,137.456,27.0,0.0
35,2015-02-05,139.153,27.0,0.0
36,2015-02-06,141.097,27.0,0.0
37,2015-02-07,143.155,27.0,0.0
38,2015-02-08,140.576,27.0,0.0
39,2015-02-09,141.981,27.0,0.0
40,2015-02-10,145.415,26.0,0.0
41,2015-02-11,143.569,27.0,0.0
42,2015-02-12,141.342,28.0,0.0
43,2015-02-13,143.897,28.0,0.0
44,2015-02-14,143.569,29.0,0.0
45,2015-02-15,143.287,29.0,0.0
46,2015-02-16,144.157,28.0,0.0
47,2015-02-17,144.689,28.0,0.0
48,2015-02-18,142.985,29.0,0.0
49,2015-02-19,144.295,28.0,0.0
50,2015-02-20,144.899,29.0,0.0
51,2015-02-21,146.56,29.0,0.0
52,2015-02-22,142.224,30.0,0.0
53,2015-02-23,142.862,29.0,0.0
54,2015-02-24,145.562,29.0,0.0
55,2015-02-25,147.369,29.0,0.0
56,2015-02-26,145.355,28.0,0.0
57,2015-02-27,147.719,29.0,0.0
58,2015-02-28,143.115,28.0,0.0
59,2015-03-01,135.678,28.0,0.3
60,2015-03-02,138.554,28.0,4.0
61,2015-03-03,140.93,30.0,2.7
62,2015-03-04,137.705,30.0,0.8
63,2015-03-05,141.742,31.0,1.0
64,2015-03-06,138.003,30.0,0.9
65,2015-03-07,142.528,30.0,0.8
66,2015-03-08,137.835,30.0,0.0
67,2015-03-09,143.264,30.0,0.3
68,2015-03-10,143.867,26.0,1.6
69,2015-03-11,144.102,31.0,0.0
70,2015-03-12,145.864,31.0,0.0
71,2015-03-13,145.696,32.0,0.1
72,2015-03-14,146.319,31.0,1.0
73,2015-03-15,146.459,31.0,0.1
74,2015-03-16,146.561,32.0,0.1
75,2015-03-17,146.562,31.0,0.2
76,2015-03-18,148.693,32.0,0.0
