Date,temp,rain,inflation,Friday,Saturday,Sunday,Thursday,Tuesday,Wednesday,1D,Main,Sub,Energy Required (MU)
2015-01-01,28.0,0.1,0.052,0,0,0,1,0,0,0,0,0,131.501
2015-01-02,28.0,0.4,0.052,1,0,0,0,0,0,0,0,0,135.684
2015-01-03,27.0,1.1,0.052,0,1,0,0,0,0,0,0,0,136.575
2015-01-04,27.0,0.4,0.052,0,0,1,0,0,0,0,0,0,136.887
2015-01-05,27.0,0.0,0.052,0,0,0,0,0,0,0,0,0,138.566
2015-01-06,25.0,0.0,0.052,0,0,0,0,1,0,0,0,0,138.846
2015-01-07,25.0,0.0,0.052,0,0,0,0,0,1,0,0,0,137.209
2015-01-08,25.0,0.1,0.052,0,0,0,1,0,0,0,0,0,137.859
2015-01-09,23.0,0.0,0.052,1,0,0,0,0,0,0,0,0,135.199
2015-01-10,23.0,0.0,0.052,0,1,0,0,0,0,0,0,0,136.159
2015-01-11,24.0,0.0,0.052,0,0,1,0,0,0,0,0,0,131.173
2015-01-12,23.0,0.0,0.052,0,0,0,0,0,0,0,0,0,132.813
2015-01-13,24.0,0.0,0.052,0,0,0,0,1,0,0,0,0,136.996
2015-01-14,25.0,0.0,0.052,0,0,0,0,0,1,0,0,0,134.263
2015-01-15,25.0,0.0,0.052,0,0,0,1,0,0,0,1,0,127.22
2015-01-16,26.0,0.0,0.052,1,0,0,0,0,0,0,0,0,125.107
2015-01-17,25.0,0.0,0.052,0,1,0,0,0,0,0,0,0,128.624
2015-01-18,25.0,0.0,0.052,0,0,1,0,0,0,0,0,0,127.796
2015-01-19,26.0,0.0,0.052,0,0,0,0,0,0,0,0,0,131.75
2015-01-20,25.0,0.0,0.052,0,0,0,0,1,0,0,0,0,134.978
2015-01-21,25.0,0.0,0.052,0,0,0,0,0,1,0,0,0,134.27
2015-01-22,25.0,0.0,0.052,0,0,0,1,0,0,0,0,0,136.556
2015-01-23,26.0,0.0,0.052,1,0,0,0,0,0,0,0,0,139.711
2015-01-24,26.0,0.0,0.052,0,1,0,0,0,0,0,0,0,137.127
2015-01-25,26.0,0.0,0.052,0,0,1,0,0,0,0,0,0,137.041
2015-01-26,26.0,0.0,0.052,0,0,0,0,0,0,1,0,0,134.741
2015-01-27,26.0,0.0,0.052,0,0,0,0,1,0,0,0,0,137.412
2015-01-28,26.0,0.0,0.052,0,0,0,0,0,1,0,0,0,140.114
2015-01-29,26.0,0.1,0.052,0,0,0,1,0,0,0,0,0,139.509
2015-01-30,27.0,0.0,0.052,1,0,0,0,0,0,0,0,0,140.529
2015-01-31,26.0,0.0,0.052,0,1,0,0,0,0,0,0,0,141.08
2015-02-01,26.0,0.1,0.054,0,0,1,0,0,0,0,0,0,138.054
2015-02-02,26.0,0.2,0.054,0,0,0,0,0,0,0,0,0,137.458
2015-02-03,26.0,0.0,0.054,0,0,0,0,1,0,0,0,0,138.233
2015-02-04,27.0,0.0,0.054,0,0,0,0,0,1,0,0,0,137.456
2015-02-05,27.0,0.0,0.054,0,0,0,1,0,0,0,0,0,139.153
2015-02-06,27.0,0.0,0.054,1,0,0,0,0,0,0,0,0,141.097
2015-02-07,27.0,0.0,0.054,0,1,0,0,0,0,0,0,0,143.155
2015-02-08,27.0,0.0,0.054,0,0,1,0,0,0,0,0,0,140.576
2015-02-09,27.0,0.0,0.054,0,0,0,0,0,0,0,0,0,141.981
2015-02-10,26.0,0.0,0.054,0,0,0,0,1,0,0,0,0,145.415
2015-02-11,27.0,0.0,0.054,0,0,0,0,0,1,0,0,0,143.569
2015-02-12,28.0,0.0,0.054,0,0,0,1,0,0,0,0,0,141.342
2015-02-13,28.0,0.0,0.054,1,0,0,0,0,0,0,0,0,143.897
2015-02-14,29.0,0.0,0.054,0,1,0,0,0,0,0,0,0,143.569
2015-02-15,29.0,0.0,0.054,0,0,1,0,0,0,0,0,0,143.287
2015-02-16,28.0,0.0,0.054,0,0,0,0,0,0,0,0,0,144.157
2015-02-17,28.0,0.0,0.054,0,0,0,0,1,0,0,1,0,144.689
2015-02-18,29.0,0.0,0.054,0,0,0,0,0,1,0,0,0,142.985
2015-02-19,28.0,0.0,0.054,0,0,0,1,0,0,0,0,0,144.295
2015-02-20,29.0,0.0,0.054,1,0,0,0,0,0,0,0,0,144.899
2015-02-21,29.0,0.0,0.054,0,1,0,0,0,0,0,0,0,146.56
2015-02-22,30.0,0.0,0.054,0,0,1,0,0,0,0,0,0,142.224
2015-02-23,29.0,0.0,0.054,0,0,0,0,0,0,0,0,0,142.862
2015-02-24,29.0,0.0,0.054,0,0,0,0,1,0,0,0,0,145.562
2015-02-25,29.0,0.0,0.054,0,0,0,0,0,1,0,0,0,147.369
2015-02-26,28.0,0.0,0.054,0,0,0,1,0,0,0,0,0,145.355
2015-02-27,29.0,0.0,0.054,1,0,0,0,0,0,0,0,0,147.719
2015-02-28,28.0,0.0,0.054,0,1,0,0,0,0,0,0,0,143.115
2015-03-01,28.0,0.3,0.053,0,0,1,0,0,0,0,0,0,135.678
2015-03-02,28.0,4.0,0.053,0,0,0,0,0,0,0,0,0,138.554
2015-03-03,30.0,2.7,0.053,0,0,0,0,1,0,0,0,0,140.93
2015-03-04,30.0,0.8,0.053,0,0,0,0,0,1,0,0,0,137.705
2015-03-05,31.0,1.0,0.053,0,0,0,1,0,0,0,0,1,141.742
2015-03-06,30.0,0.9,0.053,1,0,0,0,0,0,0,0,0,138.003
2015-03-07,30.0,0.8,0.053,0,1,0,0,0,0,0,0,0,142.528
2015-03-08,30.0,0.0,0.053,0,0,1,0,0,0,0,0,0,137.835
2015-03-09,30.0,0.3,0.053,0,0,0,0,0,0,0,0,0,143.264
2015-03-10,26.0,1.6,0.053,0,0,0,0,1,0,0,0,0,143.867
2015-03-11,31.0,0.0,0.053,0,0,0,0,0,1,0,0,0,144.102
2015-03-12,31.0,0.0,0.053,0,0,0,1,0,0,0,0,0,145.864
2015-03-13,32.0,0.1,0.053,1,0,0,0,0,0,0,0,0,145.696
2015-03-14,31.0,1.0,0.053,0,1,0,0,0,0,0,0,0,146.319
2015-03-15,31.0,0.1,0.053,0,0,1,0,0,0,0,0,0,146.459
2015-03-16,32.0,0.1,0.053,0,0,0,0,0,0,0,0,0,146.561
2015-03-17,31.0,0.2,0.053,0,0,0,0,1,0,0,0,0,146.562
2015-03-18,32.0,0.0,0.053,0,0,0,0,0,1,0,0,0,148.693
2015-03-19,28.0,0.0,0.053,0,0,0,1,0,0,0,0,0,150.347
2015-03-20,32.0,0.0,0.053,1,0,0,0,0,0,0,0,0,146.931
2015-03-21,33.0,0.0,0.053,0,1,0,0,0,0,0,1,0,148.065
2015-03-22,34.0,0.0,0.053,0,0,1,0,0,0,0,0,0,144.244
2015-03-23,34.0,0.0,0.053,0,0,0,0,0,0,0,0,0,148.87
2015-03-24,34.0,0.0,0.053,0,0,0,0,1,0,0,0,0,152.523
2015-03-25,32.0,0.0,0.053,0,0,0,0,0,1,0,0,0,151.865
2015-03-26,32.0,0.0,0.053,0,0,0,1,0,0,0,0,0,153.935
2015-03-27,32.0,0.0,0.053,1,0,0,0,0,0,0,0,0,150.218
2015-03-28,32.0,0.0,0.053,0,1,0,0,0,0,0,0,0,151.759
2015-03-29,32.0,0.0,0.053,0,0,1,0,0,0,0,0,0,148.308
2015-03-30,32.0,0.0,0.053,0,0,0,0,0,0,0,0,0,147.447
2015-03-31,32.0,0.1,0.053,0,0,0,0,1,0,0,0,0,151.626
2015-04-01,32.0,0.0,0.049,0,0,0,0,0,1,1,0,0,150.534
2015-04-02,34.0,0.0,0.049,0,0,0,1,0,0,0,0,0,150.106
2015-04-03,35.0,0.0,0.049,1,0,0,0,0,0,1,0,0,151.75
2015-04-04,36.0,0.0,0.049,0,1,0,0,0,0,0,0,0,154.208
2015-04-05,35.0,0.0,0.049,0,0,1,0,0,0,0,0,0,149.9
2015-04-06,33.0,0.0,0.049,0,0,0,0,0,0,0,0,0,149.927
2015-04-07,33.0,0.0,0.049,0,0,0,0,1,0,0,0,0,150.586
2015-04-08,32.0,0.0,0.049,0,0,0,0,0,1,0,0,0,152.258
2015-04-09,32.0,0.0,0.049,0,0,0,1,0,0,0,0,0,150.226
2015-04-10,33.0,0.0,0.049,1,0,0,0,0,0,0,0,0,152.859
2015-04-11,33.0,0.0,0.049,0,1,0,0,0,0,0,0,0,149.998
2015-04-12,32.0,0.0,0.049,0,0,1,0,0,0,0,0,0,134.697
2015-04-13,34.0,0.0,0.049,0,0,0,0,0,0,0,0,0,127.984
2015-04-14,34.0,0.0,0.049,0,0,0,0,1,0,1,0,0,123.314
2015-04-15,34.0,0.0,0.049,0,0,0,0,0,1,0,0,0,121.825
2015-04-16,33.0,10.2,0.049,0,0,0,1,0,0,0,0,0,128.134
2015-04-17,34.0,1.6,0.049,1,0,0,0,0,0,0,0,0,130.062
2015-04-18,36.0,0.0,0.049,0,1,0,0,0,0,0,0,0,133.747
2015-04-19,34.0,0.0,0.049,0,0,1,0,0,0,0,0,0,134.288
2015-04-20,33.0,0.0,0.049,0,0,0,0,0,0,0,0,0,140.756
2015-04-21,33.0,0.0,0.049,0,0,0,0,1,0,0,0,0,144.152
2015-04-22,36.0,0.0,0.049,0,0,0,0,0,1,0,0,0,143.492
2015-04-23,36.0,0.0,0.049,0,0,0,1,0,0,0,0,0,148.863
2015-04-24,34.0,4.5,0.049,1,0,0,0,0,0,0,0,0,127.482
2015-04-25,34.0,0.3,0.049,0,1,0,0,0,0,0,0,0,130.772
2015-04-26,33.0,0.1,0.049,0,0,1,0,0,0,0,0,0,131.757
2015-04-27,34.0,0.0,0.049,0,0,0,0,0,0,0,0,0,138.127
2015-04-28,35.0,0.0,0.049,0,0,0,0,1,0,0,0,0,142.221
2015-04-29,35.0,0.0,0.049,0,0,0,0,0,1,0,0,0,137.288
2015-04-30,37.0,0.0,0.049,0,0,0,1,0,0,0,0,0,139.798
2015-05-01,37.0,0.1,0.05,1,0,0,0,0,0,0,0,0,138.81
2015-05-02,36.0,0.0,0.05,0,1,0,0,0,0,0,0,0,140.708
2015-05-03,36.0,3.3,0.05,0,0,1,0,0,0,0,0,0,135.442
2015-05-04,34.0,0.0,0.05,0,0,0,0,0,0,0,0,0,142.267
2015-05-05,34.0,0.0,0.05,0,0,0,0,1,0,0,0,0,143.027
2015-05-06,34.0,0.0,0.05,0,0,0,0,0,1,0,0,0,144.527
2015-05-07,35.0,0.0,0.05,0,0,0,1,0,0,0,0,0,143.482
2015-05-08,37.0,0.0,0.05,1,0,0,0,0,0,0,0,0,147.541
2015-05-09,35.0,0.0,0.05,0,1,0,0,0,0,0,0,0,145.36
2015-05-10,35.0,0.0,0.05,0,0,1,0,0,0,0,0,0,145.945
2015-05-11,35.0,0.4,0.05,0,0,0,0,0,0,0,0,0,147.12
2015-05-12,36.0,0.0,0.05,0,0,0,0,1,0,0,0,0,149.995
2015-05-13,34.0,0.0,0.05,0,0,0,0,0,1,0,0,0,149.541
2015-05-14,34.0,0.0,0.05,0,0,0,1,0,0,0,0,0,147.958
2015-05-15,35.0,1.0,0.05,1,0,0,0,0,0,0,0,0,143.674
2015-05-16,35.0,1.5,0.05,0,1,0,0,0,0,0,0,0,137.562
2015-05-17,34.0,9.0,0.05,0,0,1,0,0,0,0,0,0,131.098
2015-05-18,36.0,0.0,0.05,0,0,0,0,0,0,0,0,0,137.64
2015-05-19,39.0,0.0,0.05,0,0,0,0,1,0,0,0,0,147.114
2015-05-20,42.0,0.0,0.05,0,0,0,0,0,1,0,0,0,144.683
2015-05-21,43.0,0.0,0.05,0,0,0,1,0,0,0,0,0,148.523
2015-05-22,43.0,0.0,0.05,1,0,0,0,0,0,0,0,0,153.956
2015-05-23,42.0,0.0,0.05,0,1,0,0,0,0,0,0,0,153.657
2015-05-24,42.0,0.1,0.05,0,0,1,0,0,0,0,0,0,149.573
2015-05-25,41.0,0.0,0.05,0,0,0,0,0,0,0,0,0,151.147
2015-05-26,42.0,0.2,0.05,0,0,0,0,1,0,0,0,0,153.955
2015-05-27,43.0,0.1,0.05,0,0,0,0,0,1,0,0,0,155.322
2015-05-28,42.0,0.5,0.05,0,0,0,1,0,0,0,0,0,143.336
2015-05-29,41.0,0.0,0.05,1,0,0,0,0,0,0,0,0,147.235
2015-05-30,39.0,0.0,0.05,0,1,0,0,0,0,0,0,0,146.455
2015-05-31,37.0,0.0,0.05,0,0,1,0,0,0,0,0,0,143.522
2015-06-01,36.0,0.8,0.054,0,0,0,0,0,0,0,0,0,135.238
2015-06-02,36.0,0.3,0.054,0,0,0,0,1,0,0,0,0,132.163
2015-06-03,37.0,0.0,0.054,0,0,0,0,0,1,0,0,0,127.344
2015-06-04,37.0,0.2,0.054,0,0,0,1,0,0,0,0,0,137.787
2015-06-05,36.0,0.6,0.054,1,0,0,0,0,0,0,0,0,134.276
2015-06-06,33.0,0.8,0.054,0,1,0,0,0,0,0,0,0,126.068
2015-06-07,31.0,3.0,0.054,0,0,1,0,0,0,0,0,0,127.775
2015-06-08,31.0,15.7,0.054,0,0,0,0,0,0,0,0,0,127.775
2015-06-09,32.0,0.0,0.054,0,0,0,0,1,0,0,0,0,125.428
2015-06-10,37.0,0.0,0.054,0,0,0,0,0,1,0,0,0,128.297
2015-06-11,38.0,0.0,0.054,0,0,0,1,0,0,0,0,0,133.912
2015-06-12,35.0,7.0,0.054,1,0,0,0,0,0,0,0,0,128.599
2015-06-13,34.0,3.0,0.054,0,1,0,0,0,0,0,0,0,130.013
2015-06-14,33.0,2.6,0.054,0,0,1,0,0,0,0,0,0,125.361
2015-06-15,32.0,0.7,0.054,0,0,0,0,0,0,0,0,0,130.363
2015-06-16,30.0,2.2,0.054,0,0,0,0,1,0,0,0,0,128.3
2015-06-17,26.0,59.1,0.054,0,0,0,0,0,1,0,0,0,129.216
2015-06-18,27.0,8.6,0.054,0,0,0,1,0,0,0,0,0,123.601
2015-06-19,27.0,5.9,0.054,1,0,0,0,0,0,0,0,0,117.876
2015-06-20,26.0,20.0,0.054,0,1,0,0,0,0,0,0,0,123.461
2015-06-21,27.0,11.4,0.054,0,0,1,0,0,0,0,0,0,113.38
2015-06-22,31.0,0.4,0.054,0,0,0,0,0,0,0,0,0,117.364
2015-06-23,33.0,0.0,0.054,0,0,0,0,1,0,0,0,0,129.519
2015-06-24,34.0,0.0,0.054,0,0,0,0,0,1,0,0,0,137.718
2015-06-25,34.0,0.0,0.054,0,0,0,1,0,0,0,0,0,138.826
