Date,Energy Required (MU),temp,rain,inflation,day,Holiday
2015-01-01,131.501,28.0,0.1,0.052,Thursday,Work
2015-01-02,135.684,28.0,0.4,0.052,Friday,Work
2015-01-03,136.575,27.0,1.1,0.052,Saturday,Work
2015-01-04,136.887,27.0,0.4,0.052,Sunday,Work
2015-01-05,138.566,27.0,0.0,0.052,Monday,Work
2015-01-06,138.846,25.0,0.0,0.052,Tuesday,Work
2015-01-07,137.209,25.0,0.0,0.052,Wednesday,Work
2015-01-08,137.859,25.0,0.1,0.052,Thursday,Work
2015-01-09,135.199,23.0,0.0,0.052,Friday,Work
2015-01-10,136.159,23.0,0.0,0.052,Saturday,Work
2015-01-11,131.173,24.0,0.0,0.052,Sunday,Work
2015-01-12,132.813,23.0,0.0,0.052,Monday,Work
2015-01-13,136.996,24.0,0.0,0.052,Tuesday,Work
2015-01-14,134.263,25.0,0.0,0.052,Wednesday,Work
2015-01-15,127.22,25.0,0.0,0.052,Thursday,Pongal
2015-01-16,125.107,26.0,0.0,0.052,Friday,Work
2015-01-17,128.624,25.0,0.0,0.052,Saturday,Work
2015-01-18,127.796,25.0,0.0,0.052,Sunday,Work
2015-01-19,131.75,26.0,0.0,0.052,Monday,Work
2015-01-20,134.978,25.0,0.0,0.052,Tuesday,Work
2015-01-21,134.27,25.0,0.0,0.052,Wednesday,Work
2015-01-22,136.556,25.0,0.0,0.052,Thursday,Work
2015-01-23,139.711,26.0,0.0,0.052,Friday,Work
2015-01-24,137.127,26.0,0.0,0.052,Saturday,Work
2015-01-25,137.041,26.0,0.0,0.052,Sunday,Work
2015-01-26,134.741,26.0,0.0,0.052,Monday,Republic Day
2015-01-27,137.412,26.0,0.0,0.052,Tuesday,Work
2015-01-28,140.114,26.0,0.0,0.052,Wednesday,Work
2015-01-29,139.509,26.0,0.1,0.052,Thursday,Work
2015-01-30,140.529,27.0,0.0,0.052,Friday,Work
2015-01-31,141.08,26.0,0.0,0.052,Saturday,Work
2015-02-01,138.054,26.0,0.1,0.054,Sunday,Work
2015-02-02,137.458,26.0,0.2,0.054,Monday,Work
